# Number of cells = 1600
# CFL = 8.000000e-01
# a = 1.000000e+00
# L1 error = 2.629423e-03
# Root mean square error = 5.228718e-03
# Wall time = 4.149100e-02 seconds

VARIABLES = "x" "Numerical_solution" "Exact_solution" "Error"
ZONE I=1600, F=POINT
1.531250e-01 3.828308e-02 3.436672e-02 3.916357e-03
1.537500e-01 3.935213e-02 3.536470e-02 3.987428e-03
1.543750e-01 4.044629e-02 3.638722e-02 4.059065e-03
1.550000e-01 4.156598e-02 3.743474e-02 4.131249e-03
1.556250e-01 4.271166e-02 3.850770e-02 4.203960e-03
1.562500e-01 4.388377e-02 3.960659e-02 4.277178e-03
1.568750e-01 4.508274e-02 4.073186e-02 4.350882e-03
1.575000e-01 4.630904e-02 4.188399e-02 4.425049e-03
1.581250e-01 4.756311e-02 4.306345e-02 4.499656e-03
1.587500e-01 4.884540e-02 4.427073e-02 4.574679e-03
1.593750e-01 5.015638e-02 4.550629e-02 4.650093e-03
1.600000e-01 5.149649e-02 4.677062e-02 4.725872e-03
1.606250e-01 5.286621e-02 4.806422e-02 4.801989e-03
1.612500e-01 5.426598e-02 4.938756e-02 4.878417e-03
1.618750e-01 5.569628e-02 5.074115e-02 4.955127e-03
1.625000e-01 5.715756e-02 5.212547e-02 5.032089e-03
1.631250e-01 5.865030e-02 5.354102e-02 5.109272e-03
1.637500e-01 6.017495e-02 5.498830e-02 5.186645e-03
1.643750e-01 6.173199e-02 5.646781e-02 5.264176e-03
1.650000e-01 6.332188e-02 5.798005e-02 5.341831e-03
1.656250e-01 6.494510e-02 5.952552e-02 5.419575e-03
1.662500e-01 6.660210e-02 6.110473e-02 5.497374e-03
1.668750e-01 6.829337e-02 6.271817e-02 5.575191e-03
1.675000e-01 7.001935e-02 6.436637e-02 5.652988e-03
1.681250e-01 7.178053e-02 6.604981e-02 5.730728e-03
1.687500e-01 7.357737e-02 6.776900e-02 5.808370e-03
1.693750e-01 7.541034e-02 6.952446e-02 5.885876e-03
1.700000e-01 7.727989e-02 7.131668e-02 5.963205e-03
1.706250e-01 7.918649e-02 7.314618e-02 6.040313e-03
1.712500e-01 8.113060e-02 7.501345e-02 6.117158e-03
1.718750e-01 8.311269e-02 7.691899e-02 6.193696e-03
1.725000e-01 8.513320e-02 7.886332e-02 6.269884e-03
1.731250e-01 8.719260e-02 8.084692e-02 6.345674e-03
1.737500e-01 8.929132e-02 8.287030e-02 6.421020e-03
1.743750e-01 9.142983e-02 8.493395e-02 6.495876e-03
1.750000e-01 9.360856e-02 8.703837e-02 6.570192e-03
1.756250e-01 9.582796e-02 8.918404e-02 6.643920e-03
1.762500e-01 9.808845e-02 9.137145e-02 6.717010e-03
1.768750e-01 1.003905e-01 9.360108e-02 6.789410e-03
1.775000e-01 1.027345e-01 9.587341e-02 6.861070e-03
1.781250e-01 1.051209e-01 9.818893e-02 6.931937e-03
1.787500e-01 1.075500e-01 1.005481e-01 7.001958e-03
1.793750e-01 1.100224e-01 1.029514e-01 7.071079e-03
1.800000e-01 1.125385e-01 1.053992e-01 7.139245e-03
1.806250e-01 1.150985e-01 1.078921e-01 7.206402e-03
1.812500e-01 1.177030e-01 1.104305e-01 7.272493e-03
1.818750e-01 1.203522e-01 1.130148e-01 7.337461e-03
1.825000e-01 1.230467e-01 1.156454e-01 7.401251e-03
1.831250e-01 1.257867e-01 1.183228e-01 7.463802e-03
1.837500e-01 1.285726e-01 1.210475e-01 7.525059e-03
1.843750e-01 1.314047e-01 1.238198e-01 7.584960e-03
1.850000e-01 1.342835e-01 1.266401e-01 7.643448e-03
1.856250e-01 1.372093e-01 1.295088e-01 7.700462e-03
1.862500e-01 1.401823e-01 1.324264e-01 7.755942e-03
1.868750e-01 1.432029e-01 1.353931e-01 7.809827e-03
1.875000e-01 1.462715e-01 1.384094e-01 7.862056e-03
1.881250e-01 1.493882e-01 1.414757e-01 7.912567e-03
1.887500e-01 1.525535e-01 1.445922e-01 7.961299e-03
1.893750e-01 1.557675e-01 1.477593e-01 8.008190e-03
1.900000e-01 1.590306e-01 1.509774e-01 8.053178e-03
1.906250e-01 1.623430e-01 1.542468e-01 8.096200e-03
1.912500e-01 1.657048e-01 1.575676e-01 8.137193e-03
1.918750e-01 1.691165e-01 1.609404e-01 8.176096e-03
1.925000e-01 1.725781e-01 1.643653e-01 8.212844e-03
1.931250e-01 1.760899e-01 1.678425e-01 8.247377e-03
1.937500e-01 1.796521e-01 1.713725e-01 8.279630e-03
1.943750e-01 1.832648e-01 1.749552e-01 8.309542e-03
1.950000e-01 1.869282e-01 1.785911e-01 8.337050e-03
1.956250e-01 1.906424e-01 1.822803e-01 8.362092e-03
1.962500e-01 1.944076e-01 1.860230e-01 8.384605e-03
1.968750e-01 1.982239e-01 1.898194e-01 8.404528e-03
1.975000e-01 2.020914e-01 1.936696e-01 8.421800e-03
1.981250e-01 2.060102e-01 1.975738e-01 8.436359e-03
1.987500e-01 2.099802e-01 2.015321e-01 8.448145e-03
1.993750e-01 2.140017e-01 2.055446e-01 8.457097e-03
2.000000e-01 2.180745e-01 2.096114e-01 8.463156e-03
2.006250e-01 2.221988e-01 2.137326e-01 8.466264e-03
2.012500e-01 2.263745e-01 2.179081e-01 8.466361e-03
2.018750e-01 2.306016e-01 2.221382e-01 8.463390e-03
2.025000e-01 2.348800e-01 2.264227e-01 8.457294e-03
2.031250e-01 2.392097e-01 2.307617e-01 8.448017e-03
2.037500e-01 2.435907e-01 2.351552e-01 8.435503e-03
2.043750e-01 2.480227e-01 2.396030e-01 8.419699e-03
2.050000e-01 2.525057e-01 2.441051e-01 8.400551e-03
2.056250e-01 2.570395e-01 2.486615e-01 8.378006e-03
2.062500e-01 2.616241e-01 2.532721e-01 8.352014e-03
2.068750e-01 2.662591e-01 2.579366e-01 8.322524e-03
2.075000e-01 2.709444e-01 2.626550e-01 8.289487e-03
2.081250e-01 2.756798e-01 2.674270e-01 8.252857e-03
2.087500e-01 2.804651e-01 2.722525e-01 8.212586e-03
2.093750e-01 2.852999e-01 2.771312e-01 8.168629e-03
2.100000e-01 2.901839e-01 2.820630e-01 8.120944e-03
2.106250e-01 2.951169e-01 2.870474e-01 8.069488e-03
2.112500e-01 3.000985e-01 2.920843e-01 8.014221e-03
2.118750e-01 3.051284e-01 2.971733e-01 7.955103e-03
2.125000e-01 3.102061e-01 3.023140e-01 7.892099e-03
2.131250e-01 3.153313e-01 3.075061e-01 7.825171e-03
2.137500e-01 3.205035e-01 3.127493e-01 7.754287e-03
